24|55
38|32
38|21
48|51
48|92
48|14
78|35
78|54
78|87
78|44
72|29
72|65
72|87
72|82
72|37
23|56
23|51
23|81
23|83
23|25
23|87
25|14
25|18
25|55
25|22
25|15
25|77
25|17
54|96
54|65
54|33
54|21
54|36
54|29
54|56
54|89
56|78
56|88
56|77
56|52
56|22
56|81
56|14
56|85
56|17
33|23
33|22
33|83
33|14
33|89
33|25
33|55
33|92
33|72
33|78
96|78
96|21
96|14
96|77
96|92
96|68
96|88
96|24
96|83
96|55
96|91
97|56
97|54
97|17
97|43
97|13
97|33
97|48
97|96
97|65
97|89
97|83
97|37
35|92
35|23
35|25
35|52
35|24
35|33
35|51
35|21
35|55
35|88
35|17
35|56
35|89
52|44
52|61
52|88
52|82
52|64
52|71
52|51
52|99
52|97
52|68
52|85
52|91
52|18
52|55
22|43
22|61
22|72
22|68
22|15
22|87
22|64
22|85
22|97
22|88
22|51
22|71
22|18
22|63
22|91
29|14
29|81
29|35
29|89
29|96
29|21
29|13
29|36
29|23
29|65
29|48
29|17
29|24
29|52
29|33
29|99
65|17
65|15
65|25
65|48
65|56
65|22
65|52
65|21
65|92
65|23
65|36
65|83
65|24
65|55
65|37
65|89
65|81
36|77
36|96
36|83
36|99
36|56
36|89
36|68
36|21
36|55
36|92
36|78
36|88
36|51
36|72
36|52
36|14
36|24
36|17
32|24
32|83
32|13
32|29
32|21
32|25
32|92
32|56
32|33
32|99
32|96
32|14
32|35
32|22
32|88
32|17
32|65
32|81
32|37
64|42
64|48
64|37
64|96
64|44
64|56
64|71
64|76
64|36
64|29
64|33
64|23
64|65
64|13
64|25
64|38
64|43
64|32
64|97
64|54
55|64
55|76
55|61
55|43
55|38
55|87
55|71
55|72
55|54
55|68
55|18
55|67
55|85
55|63
55|51
55|78
55|77
55|44
55|15
55|97
55|91
43|14
43|96
43|32
43|89
43|48
43|35
43|23
43|36
43|83
43|24
43|33
43|52
43|56
43|65
43|13
43|25
43|21
43|17
43|54
43|76
43|42
43|37
92|85
92|71
92|38
92|77
92|64
92|76
92|44
92|51
92|63
92|68
92|87
92|55
92|88
92|18
92|99
92|15
92|72
92|97
92|43
92|82
92|61
92|91
92|78
17|18
17|81
17|82
17|52
17|92
17|77
17|64
17|21
17|14
17|68
17|51
17|83
17|99
17|24
17|91
17|72
17|88
17|15
17|87
17|85
17|55
17|22
17|67
17|78
83|68
83|77
83|18
83|99
83|67
83|51
83|15
83|72
83|92
83|22
83|82
83|85
83|88
83|63
83|78
83|44
83|52
83|24
83|91
83|55
83|87
83|61
83|14
83|64
76|25
76|14
76|56
76|22
76|89
76|23
76|42
76|35
76|83
76|29
76|48
76|32
76|81
76|33
76|96
76|13
76|65
76|21
76|36
76|52
76|24
76|17
76|37
